,line,stopno,on,off
3209,142,3162,717.4814814814815,149.62962962962962
3210,9401,3163,60.96296296296296,1478.4444444444443
3211,9401,3164,1297.4074074074074,39.851851851851855
3212,470,3165,287.44444444444446,523.1111111111111
3213,420,3165,454.81481481481484,669.2592592592592
3214,472,3165,840.1111111111111,841.5925925925926
3215,110B,3165,383.4,807.4
3216,N37,3165,8.25925925925926,19.203703703703702
3217,741,3165,270.0,376.6923076923077
3218,400,3165,169.30769230769232,340.2307692307692
3219,402,3165,303.037037037037,463.1111111111111
3220,144,3165,343.77777777777777,651.925925925926
3221,N13,3165,7.277777777777778,10.0
3222,471,3165,496.5,458.14285714285717
3223,140,3165,374.037037037037,823.6666666666666
3224,6211,3165,331.81481481481484,301.962962962963
3225,3011,3165,345.037037037037,70.14814814814815
3226,142,3165,530.0370370370371,635.8518518518518
3227,470,3166,211.77777777777777,219.66666666666666
3228,420,3166,214.5185185185185,361.22222222222223
3229,472,3166,356.25925925925924,506.9259259259259
3230,N37,3166,7.833333333333333,13.981481481481481
3231,741,3166,174.6153846153846,206.15384615384616
3232,400,3166,79.81481481481481,134.85185185185185
3233,402,3166,279.22222222222223,274.1111111111111
3234,144,3166,214.96296296296296,328.037037037037
3235,N13,3166,6.37037037037037,17.166666666666668
3236,471,3166,211.64285714285714,337.7857142857143
3237,140,3166,238.37037037037038,279.3333333333333
3238,3011,3166,25.74074074074074,256.962962962963
3239,142,3166,229.96296296296296,379.962962962963
3240,241,3166,138.0,129.0
3241,5,3167,81.14814814814815,40.074074074074076
3242,2,3167,100.9074074074074,76.35185185185185
3243,402,3167,430.8888888888889,369.85185185185185
3244,405,3167,178.77777777777777,152.0
3245,3,3167,46.48148148148148,46.370370370370374
3246,402,3168,400.77777777777777,675.4074074074074
3247,405,3168,179.77777777777777,198.88888888888889
3248,402,3169,93.5925925925926,167.5185185185185
3249,405,3169,40.629629629629626,65.81481481481481
3250,402,3170,128.14814814814815,252.4814814814815
3251,405,3170,43.81481481481482,82.14814814814815
3252,402,3171,326.5925925925926,493.4074074074074
3253,405,3171,170.07407407407408,136.5185185185185
3254,402,3172,560.8888888888889,408.74074074074076
3255,405,3172,159.92592592592592,165.77777777777777
3256,402,3173,102.22222222222223,123.51851851851852
3257,405,3173,46.7037037037037,58.7037037037037
3258,402,3174,160.88888888888889,136.55555555555554
3259,405,3174,72.85185185185185,53.333333333333336
3260,402,3175,185.2962962962963,430.18518518518516
3261,405,3175,85.77777777777777,171.44444444444446
3262,402,3176,395.18518518518516,212.55555555555554
3263,405,3176,107.44444444444444,85.48148148148148
3264,마포17,3177,98.74074074074075,50.592592592592595
3265,740,3177,147.8148148148148,134.03703703703704
